10
22 67
6 11 43
1 4 2
6 18 76
7 13 57
9 18 24
13 17 15
14 15 14
11 16 60
11 17 70
15 22 45
6 19 65
10 14 16
5 12 82
1 8 58
5 15 7
10 22 3
5 21 86
12 17 61
12 15 58
4 12 28
11 13 20
11 21 85
5 8 10
2 20 26
3 20 9
8 22 29
3 13 84
13 18 55
12 19 9
4 15 32
11 12 98
16 17 70
7 19 89
5 7 79
6 10 27
9 19 24
6 12 87
15 17 70
7 16 63
1 2 73
13 21 12
14 19 83
7 20 19
4 8 77
9 22 82
18 21 98
7 18 63
2 11 66
2 8 51
5 18 36
5 6 36
10 16 21
19 20 67
8 9 5
19 21 86
11 14 71
17 18 15
16 19 74
5 10 83
13 16 94
5 17 30
12 16 1
10 20 64
2 12 24
4 18 55
1 9 13
8 20 29
93 1995
50 93 93
89 93 6
44 77 87
18 81 67
7 92 28
66 71 45
23 92 46
11 68 26
3 59 39
11 90 61
53 75 29
48 80 89
30 69 66
6 25 36
49 53 24
11 46 2
17 52 65
29 59 25
46 54 95
21 49 50
5 24 97
1 43 30
12 92 20
3 33 13
53 76 60
2 55 39
59 88 6
49 62 73
3 85 76
63 80 86
14 40 62
80 90 94
38 81 21
6 82 16
6 28 60
33 67 46
46 77 94
31 50 11
13 85 74
58 82 61
3 25 30
20 59 52
21 86 96
22 55 66
34 47 98
21 88 24
31 87 65
4 78 93
45 78 22
36 37 7
53 90 70
17 34 92
42 77 18
23 73 74
49 67 17
40 78 82
55 62 73
22 37 55
53 57 12
74 75 98
64 75 28
52 82 21
2 51 53
15 78 56
36 45 50
71 74 71
5 80 58
40 60 57
16 84 23
14 81 88
19 20 19
6 7 9
50 75 55
37 70 50
19 51 78
27 87 18
33 44 31
48 70 5
17 67 4
39 43 53
42 57 52
12 14 71
1 17 99
28 42 2
52 69 90
42 92 25
5 69 86
63 91 76
31 68 77
5 15 63
70 77 85
15 74 21
37 82 69
68 88 17
72 83 93
43 54 4
4 32 77
3 78 11
11 19 36
54 83 58
51 73 59
1 66 77
8 20 75
32 68 53
21 36 33
76 79 54
19 65 1
90 91 56
5 31 84
34 82 62
45 57 66
23 36 54
40 86 88
46 79 93
6 46 66
15 91 77
16 34 28
41 82 45
38 42 49
68 81 37
23 33 32
2 24 86
56 70 51
17 76 20
4 47 49
70 81 6
37 63 36
36 75 13
24 90 38
14 69 65
43 75 10
12 47 40
55 85 3
64 74 64
8 82 15
28 43 98
48 75 92
65 81 71
71 93 86
38 52 79
28 74 7
27 69 57
2 53 41
53 77 14
36 50 34
4 65 71
44 67 23
40 46 46
23 77 72
23 31 78
50 63 30
70 76 99
33 91 84
45 56 25
17 22 44
9 59 59
38 88 70
62 70 67
15 35 64
27 56 100
8 89 28
32 82 88
41 52 25
66 76 92
2 79 43
17 39 74
34 46 18
65 71 86
37 85 13
13 29 44
76 86 20
5 22 50
52 90 20
46 80 74
48 64 30
2 43 13
20 40 91
11 24 13
19 77 17
6 58 80
2 17 1
29 44 17
61 75 80
30 92 45
59 71 7
31 51 8
13 71 16
61 83 47
29 72 10
12 77 69
1 41 81
70 89 43
1 36 77
22 69 87
66 70 77
30 33 4
11 54 59
29 60 27
6 92 100
42 90 66
8 88 81
16 83 67
13 81 2
10 83 52
10 85 6
63 66 99
70 82 3
37 51 6
28 73 63
46 66 12
38 77 90
59 87 28
38 84 1
17 92 36
8 28 24
39 91 8
36 55 94
33 84 65
33 71 87
20 32 23
8 92 50
32 81 89
3 56 17
29 64 4
33 62 66
7 91 71
26 69 89
4 91 2
20 47 13
16 55 29
27 54 87
49 92 43
4 31 30
70 87 67
39 49 8
64 79 48
33 38 1
51 91 21
47 84 37
4 38 68
5 39 40
71 79 87
7 40 20
11 82 10
55 80 79
19 23 72
20 21 83
27 33 30
77 78 51
31 65 43
3 70 55
53 71 86
20 42 33
42 78 17
2 87 38
62 65 50
32 67 79
59 75 18
28 82 78
31 36 93
10 18 71
1 34 56
40 41 27
59 74 35
48 85 60
14 83 94
45 58 30
29 31 16
47 61 55
76 84 3
12 19 68
45 80 10
33 37 79
35 69 8
61 66 7
39 60 34
1 35 66
3 86 70
77 92 53
26 43 68
11 44 33
53 73 75
10 42 59
2 78 34
59 69 59
32 41 82
21 22 19
18 53 23
25 59 64
23 61 90
69 74 4
14 64 5
3 52 7
28 50 47
56 84 87
22 48 81
66 89 21
30 80 77
11 85 54
69 71 84
8 16 62
21 53 38
35 77 59
61 64 22
43 44 49
24 58 50
58 75 80
22 24 61
29 91 62
21 30 12
80 88 30
48 72 36
58 76 55
44 62 78
15 65 27
60 83 34
46 58 4
47 72 79
20 68 94
25 31 99
25 43 31
5 72 17
77 82 30
22 42 14
40 81 55
12 29 78
5 38 53
67 87 65
30 63 54
3 50 86
57 59 25
24 44 98
21 44 38
32 46 67
49 51 50
47 49 78
26 74 81
36 67 77
71 76 5
30 88 96
23 79 28
14 30 38
9 20 18
47 64 28
20 79 54
8 46 23
12 36 27
11 51 51
39 57 97
2 70 67
12 53 80
74 76 58
52 93 59
28 30 47
48 55 32
28 59 20
35 62 74
47 73 9
20 62 92
11 37 93
20 72 47
58 68 40
20 31 3
52 63 33
61 89 43
23 25 91
27 42 12
50 64 74
9 71 77
32 44 73
4 84 88
