10
85 3297
47 56 42
5 58 2
24 31 39
34 46 96
29 81 11
59 77 30
39 58 65
58 72 12
29 34 31
22 68 68
22 67 84
11 61 5
38 72 73
27 75 20
17 64 1
12 60 61
2 60 13
20 56 96
25 51 15
20 73 60
13 51 21
9 68 31
34 61 14
34 53 52
63 76 93
14 42 53
24 48 26
26 29 63
7 11 37
41 44 50
3 19 93
51 68 18
9 67 93
40 79 95
8 36 9
69 74 92
13 25 72
27 69 6
13 15 53
28 70 75
11 28 68
12 18 80
25 72 85
10 44 44
18 48 26
23 49 82
59 67 99
50 74 80
34 85 66
14 50 21
16 41 63
9 71 83
31 63 19
1 17 69
5 20 36
49 71 4
53 64 58
11 34 16
70 77 76
44 79 5
62 63 42
30 71 86
11 37 69
27 82 53
7 32 91
60 71 36
38 46 80
26 72 44
4 67 97
42 80 11
3 50 55
17 44 79
17 37 53
21 79 37
3 30 43
20 69 4
52 71 65
39 41 36
25 26 3
45 62 2
15 18 1
53 56 80
36 42 24
5 26 32
37 40 24
8 57 79
56 70 79
7 25 67
2 75 87
14 61 72
55 58 56
33 60 81
64 80 57
55 64 49
41 83 38
3 82 92
18 67 18
7 81 66
17 84 74
16 43 5
31 50 77
30 31 26
81 83 90
34 45 5
13 18 58
4 71 35
37 80 96
6 42 24
31 51 94
15 71 81
26 37 58
65 81 84
6 52 84
58 85 78
7 70 90
71 72 100
12 50 53
58 83 73
50 70 9
20 36 80
43 64 55
67 81 10
33 71 5
62 68 45
23 41 67
3 39 42
5 9 61
19 34 8
17 23 77
31 66 94
14 15 66
39 62 61
20 26 1
32 41 59
24 54 83
13 38 61
72 84 91
44 54 39
51 66 26
14 35 89
61 73 55
29 78 65
3 47 55
18 59 87
18 66 39
39 79 46
18 24 74
5 34 16
70 85 85
25 33 49
10 34 92
16 53 72
2 55 66
61 64 46
23 84 60
67 70 41
36 72 86
1 4 79
51 85 30
14 62 2
1 43 57
17 66 48
5 53 94
22 25 50
66 75 73
56 74 46
40 69 64
40 58 21
25 35 45
5 72 61
39 46 40
64 70 7
46 72 33
22 36 68
36 53 85
34 36 77
51 56 30
73 79 17
41 51 24
31 41 72
35 60 62
19 38 61
21 73 79
56 85 97
8 38 100
61 75 86
15 39 60
48 76 44
37 53 100
29 56 12
46 65 89
34 41 21
31 34 28
8 26 56
23 52 72
53 83 63
3 4 36
3 14 6
1 25 82
57 69 85
42 48 61
16 80 15
26 57 23
79 85 30
47 74 43
16 34 23
34 57 91
1 54 24
4 31 5
7 76 20
33 75 23
21 71 39
19 39 40
2 84 55
17 60 40
15 33 77
12 71 43
28 68 83
14 63 39
18 46 15
23 47 61
2 4 82
10 69 97
2 66 77
1 42 49
26 50 46
52 82 16
3 28 47
52 63 2
27 41 93
71 75 29
23 61 100
7 63 47
15 43 83
17 82 63
41 69 63
26 75 15
30 61 21
74 83 74
4 20 50
2 78 69
16 31 9
37 45 57
10 25 32
20 62 41
36 69 70
12 42 33
6 43 96
20 82 19
11 36 59
21 51 60
39 51 53
51 77 86
47 57 67
65 84 65
1 65 74
45 54 23
11 14 32
10 49 76
5 69 9
3 65 46
31 79 46
34 43 58
9 63 61
30 34 49
8 68 62
72 77 96
54 59 32
57 78 3
48 50 17
58 77 15
66 70 54
1 32 31
4 36 23
19 28 9
47 71 81
22 80 39
19 63 47
3 60 38
4 24 77
54 71 3
9 59 62
41 50 53
32 46 68
15 17 88
16 63 42
50 59 41
58 63 53
10 83 4
24 70 65
16 71 77
40 82 78
18 35 68
42 70 68
66 69 57
23 74 17
7 47 5
20 41 10
21 33 85
28 61 8
2 80 54
50 76 31
1 75 82
24 72 4
13 62 85
7 50 63
22 65 95
71 77 50
36 68 33
47 72 4
13 27 38
44 70 58
3 85 45
36 76 87
8 67 48
65 80 33
9 84 98
42 83 2
4 26 15
23 55 78
50 54 20
49 83 93
30 43 24
46 85 25
29 61 75
13 46 7
31 81 75
35 80 2
10 82 66
43 71 84
23 37 75
24 73 64
58 66 14
32 80 25
14 52 51
3 77 83
30 42 47
44 71 14
26 66 20
54 63 24
31 43 64
18 77 1
45 47 49
52 65 85
12 67 2
37 42 78
48 75 5
25 60 90
10 38 72
7 83 66
14 74 94
47 80 73
25 49 3
4 54 4
22 27 73
27 34 42
5 10 6
33 58 37
11 39 28
34 78 72
39 76 5
43 85 11
21 28 35
18 41 73
29 45 87
23 81 57
20 61 66
2 64 97
28 42 73
17 70 1
35 44 7
11 53 85
21 66 60
24 71 93
56 65 59
7 51 36
23 54 81
27 31 6
7 54 22
17 83 77
6 18 2
25 65 3
43 77 40
34 48 68
57 60 4
17 21 63
13 17 6
12 45 84
2 48 55
26 76 64
57 72 37
2 59 71
60 67 15
50 69 53
3 64 40
77 79 92
10 57 8
43 61 12
52 84 14
31 71 94
29 33 18
25 38 15
12 85 23
18 49 61
19 46 5
11 48 44
35 46 27
48 58 54
1 63 72
69 75 72
26 55 5
45 82 6
10 77 77
25 81 40
58 68 23
2 25 59
68 76 75
14 72 4
1 14 7
55 66 85
15 25 36
24 34 36
30 64 84
10 29 27
7 42 42
39 48 82
41 56 32
42 78 90
24 59 40
7 22 4
68 75 32
27 68 53
24 36 38
71 80 9
6 33 32
16 52 62
49 66 36
42 45 60
16 68 65
22 28 91
67 78 62
14 73 77
8 22 66
42 84 98
1 18 67
15 73 39
3 78 39
55 56 84
48 60 72
2 6 69
27 44 2
49 79 86
53 84 13
16 60 80
19 67 91
18 54 87
33 38 53
1 66 43
22 50 30
73 81 43
8 42 33
25 69 100
7 61 46
33 47 73
45 70 53
30 53 2
63 85 7
57 66 42
69 79 17
16 79 28
5 6 88
35 42 65
9 39 38
8 50 31
3 62 56
55 73 9
15 84 49
22 49 27
32 47 99
34 74 69
14 31 74
73 83 4
12 55 24
57 83 94
